TRADER,n_trades,avg_from_amount,avg_to_amount,cluster
osmo10ce5t7eqjt0leqsge8luz67cv6d8n2qevss6j3,1,100.0,6.0,0.0
osmo10chfs6a6cgn94ql8lvgsymdxhu9khywpsas6er,2,277858946.5,39982598.0,0.0
osmo10ckmqvzeycglg0hrcnepa0la5kw2q9ysqpfu4k,1,7389000000.0,4999092.0,0.0
osmo10cl0dyxgyd7w9m35yr5yk3fervn22hr93jtnqv,1,100.0,6.0,0.0
osmo10cmqhdnhs5mr50mq7ssyqle9j9kghy9xcp9zq5,1,100.0,6.0,0.0
osmo10cp8xszm75t4mck9yyjnz85nel858uyc4qx8j9,5,7.000000000050465e+17,199711.4,0.0
osmo10cptayrxc7xdn0pq872kmd63y45ms8stdrd42e,14,1351637834.0714285,250000840.2142857,0.0
osmo10cqu7a6jyh86a595d30p2k0wpdnl49stzw6z29,2,1.60707115659692e+19,638474558.5,0.0
osmo10ct45skkk9zw29nxyq52z3gkkgq78qdly66dqc,1,43533926.0,727080.0,0.0
osmo10ctdqden3tnfg0nk7jl6dz6nmmfmu3vywcjt7m,1,12474032.0,832791.0,0.0
osmo10cumqzt0quyk5rjj7v3f3z5r6a8u2rz8e4qfzk,1,100.0,6.0,0.0
osmo10cwasw8fnvre5sra8sjpqm28ku0k8a4t6duuzf,1,100.0,6.0,0.0
osmo10cwlrve9yuun99nz60z8xkpqtf06xmh36vzjzz,1,100.0,6.0,0.0
osmo10d0s3tgk455wwyuuzsf37xw7weg2zjrpdkwp8h,9,22226277777.77778,52894976.88888889,0.0
